fips_code,2023_unemployment_rate,2024_unemployment_rate
08085,3.7,4.5
08087,3.5,4.1
08089,4.5,5.3
08091,3.3,4.3
08093,3.5,4.1
08095,2.5,3.0
08097,3.0,3.6
08099,3.0,3.6
08101,4.7,5.7
08103,3.3,4.2
08105,4.1,5.1
08107,2.8,3.6
08109,3.8,4.4
08111,3.6,3.7
08113,3.4,3.9
08115,3.4,4.0
08117,2.6,3.2
08119,3.3,4.1
08121,2.7,3.4
08123,3.4,4.4
08125,2.1,2.7
09110,3.2,3.4
09120,3.6,3.8
09130,2.8,2.9
09140,3.7,3.8
09150,3.3,3.2
09160,3.0,2.9
09170,3.2,3.3
09180,3.2,3.2
09190,2.8,2.9
10001,4.2,4.3
10003,3.8,3.9
10005,3.9,3.8
11001,4.9,5.3
12001,3.3,3.8
12003,2.9,3.3
12005,2.9,3.3
12007,3.3,3.8
12009,3.0,3.5
12011,2.8,3.2
12013,3.3,3.7
12015,3.7,4.1
12017,4.3,4.9
12019,2.9,3.4
12021,3.0,3.3
12023,3.5,4.0
12027,3.5,4.0
12029,3.7,4.2
12031,3.2,3.5
12033,3.1,3.6
12035,3.6,4.0
12037,3.2,3.8
12039,4.0,4.2
12041,2.9,3.4
12043,3.9,4.4
12045,2.9,3.3
12047,4.6,4.8
12049,3.5,4.1
12051,3.7,4.0
12053,3.4,4.0
12055,4.3,4.8
12057,3.0,3.4
12059,2.9,3.5
12061,3.6,4.0
12063,3.4,3.9
12065,2.7,3.1
12067,3.8,4.4
12069,3.1,3.5
12071,3.3,3.5
12073,3.0,3.4
12075,3.4,4.0
12077,3.2,3.9
12079,3.7,4.2
12081,3.1,3.5
12083,3.7,4.2
12085,3.1,3.5
12086,2.0,2.4
12087,2.0,2.2
12089,2.9,3.2
12091,2.7,3.1
12093,3.6,3.8
12095,2.9,3.3
12097,3.1,3.5
12099,3.0,3.3
12101,3.2,3.7
12103,2.7,3.2
12105,3.7,4.2
12107,3.8,4.2
12109,2.8,3.2
12111,3.5,3.9
12113,2.9,3.4
12115,3.1,3.5
12117,2.8,3.1
12119,5.1,5.8
12121,3.4,3.9
12123,4.5,6.2
12125,3.7,4.4
12127,3.4,3.8
12129,2.6,2.8
12131,2.6,3.0
12133,3.5,4.0
13001,3.9,3.9
13003,3.5,3.8
13005,3.1,3.6
13007,4.4,4.5
13009,3.8,3.8
13011,2.6,2.9
13013,2.7,2.9
13015,3.0,3.2
13017,3.4,3.9
13019,3.3,4.2
13021,4.1,4.4
13023,3.6,3.9
13025,3.1,3.1
13027,3.6,3.7
13029,2.7,2.8
13031,3.4,3.5
13033,5.0,5.1
13035,3.1,3.2
13037,3.2,3.1
13039,3.0,3.2
13043,3.2,3.4
13045,3.1,3.3
13047,2.7,2.9
13049,3.4,3.4
13051,2.9,3.0
13053,7.0,7.2
13055,4.1,4.4
13057,2.6,2.8
13059,3.1,3.4
13061,6.4,5.5
13063,4.1,4.3
13065,3.5,3.9
13067,3.0,3.2
13069,3.7,4.0
13071,3.0,3.1
13073,3.2,3.3
13075,3.4,3.6
13077,3.0,3.1
13079,3.2,3.6
13081,3.6,3.4
13083,2.9,3.2
13085,2.5,2.7
13087,3.6,3.5
13089,3.5,3.6
13091,3.4,3.5
13093,3.5,4.0
13095,4.5,4.8
13097,3.5,3.7
13099,4.5,4.7
13101,2.7,3.2
13103,2.7,2.6
13105,3.4,3.8
13107,3.8,4.3
13109,3.0,3.0
13111,3.3,3.2
13113,3.2,3.2
13115,3.2,3.4
13117,2.5,2.7
13119,3.3,3.7
13121,3.4,3.5
13123,2.8,2.8
13125,2.9,3.0
13127,2.8,2.9
13129,3.0,3.3
13131,3.0,3.2
13133,3.5,3.8
13135,3.0,3.1
13137,3.0,3.1
13139,2.6,2.7
13141,5.4,5.7
13143,3.0,3.1
13145,2.9,3.1
13147,3.3,3.6
13149,3.4,3.5
13151,3.4,3.7
13153,2.9,2.9
13155,3.2,3.4
13157,2.5,2.9
13159,3.1,3.3
13161,4.5,4.7
13163,4.0,4.7
13165,4.5,3.9
13167,3.4,3.8
13169,3.2,3.4
13171,3.7,4.2
13173,3.6,4.0
13175,4.2,4.1
13177,2.7,2.7
13179,3.8,3.9
13181,4.2,4.1
13183,3.5,3.5
13185,3.6,3.8
13187,3.1,3.3
13189,4.5,5.0
13191,3.3,3.5
13193,4.3,4.4
13195,3.0,3.2
13197,3.4,3.6
13199,4.1,4.1
13201,3.0,3.0
13205,3.5,3.8
13207,2.8,3.0
13209,4.3,4.4
13211,2.8,2.8
13213,3.3,3.8
13215,3.9,4.0
13217,3.7,4.1
13219,2.5,2.6
13221,2.8,3.0
13223,3.1,3.2
13225,3.6,4.0
13227,2.7,2.8
13229,3.3,3.6
13231,2.8,2.9
13233,3.3,3.6
13235,3.4,3.6
13237,3.6,3.6
13239,5.9,6.2
13241,3.2,3.1
13243,3.5,3.8
13245,4.6,5.0
13247,3.8,4.0
13249,3.1,3.4
13251,4.4,4.4
13253,3.8,4.3
13255,3.5,3.8
13257,3.5,3.9
13259,5.8,5.0
13261,4.3,4.7
13263,3.8,4.0
13265,3.1,3.8
13267,3.5,3.5
13269,4.0,3.9
13271,6.1,5.6
13273,4.8,4.8
