fips_code,state,county,population,poverty_pct,bachelors_pct,median_income,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status,_merge
8065,Colorado,Lake,7411,7.2,46.1,93655,,,,,,left_only
8073,Colorado,Lincoln,5561,10.3,25.7,54257,,,,,,left_only
8079,Colorado,Mineral,799,13.0,54.5,52455,,,,,,left_only
8081,Colorado,Moffat,13258,11.7,21.0,70975,,,,,,left_only
8093,Colorado,Park,17739,7.2,38.8,95450,,,,,,left_only
8101,Colorado,Pueblo,168726,15.4,25.0,62250,,,,,,left_only
8111,Colorado,San Juan,690,16.8,47.2,73889,,,,,,left_only
8115,Colorado,Sedgwick,2346,14.5,27.4,52833,,,,,,left_only
8119,Colorado,Teller,24774,7.6,37.8,80666,,,,,,left_only
8123,Colorado,Weld,340711,9.0,32.0,93287,,,,,,left_only
9110,Connecticut,Capitol,969029,10.3,41.5,91541,,,,,,left_only
9120,Connecticut,Greater Bridgeport,326296,13.2,41.7,87135,,,,,,left_only
9130,Connecticut,Lower Connecticut River Valley,174983,6.9,45.5,101117,,,,,,left_only
9140,Connecticut,Naugatuck Valley,452303,10.3,33.8,86365,,,,,,left_only
9150,Connecticut,Northeastern Connecticut,95829,8.6,26.2,87564,,,,,,left_only
9160,Connecticut,Northwest Hills,112848,9.2,39.4,91035,,,,,,left_only
9170,Connecticut,South Central Connecticut,566803,11.6,41.1,86266,,,,,,left_only
9180,Connecticut,Southeastern Connecticut,279025,10.6,34.6,84185,,,,,,left_only
9190,Connecticut,Western Connecticut,621232,7.4,55.0,124553,,,,,,left_only
10001,Delaware,Kent,185043,11.3,26.7,72872,,,,,,left_only
10003,Delaware,New Castle,573030,10.2,39.2,89901,,,,,,left_only
10005,Delaware,Sussex,247799,11.5,32.6,78162,,,,,,left_only
11001,District of Columbia,District of,672079,14.5,63.6,106287,,,,,,left_only
12007,Florida,Bradford,27888,19.1,15.0,59740,,,,,,left_only
12009,Florida,Brevard,620533,9.9,33.5,75817,,,,,,left_only
12011,Florida,Broward,1946127,12.2,35.8,74534,,,,,,left_only
12013,Florida,Calhoun,13593,21.2,13.1,46901,,,,,,left_only
12017,Florida,Citrus,158693,15.5,20.4,55355,,,,,,left_only
12027,Florida,DeSoto,34719,23.1,11.0,50868,,,,,,left_only
12029,Florida,Dixie,16952,19.3,8.1,47655,,,,,,left_only
12031,Florida,Duval,1007189,14.6,33.1,68447,,,,,,left_only
12033,Florida,Escambia,323275,14.5,28.9,65715,,,,,,left_only
12037,Florida,Franklin,12418,17.3,25.3,62734,,,,,,left_only
12039,Florida,Gadsden,43642,27.7,20.1,46047,,,,,,left_only
12041,Florida,Gilchrist,18494,11.2,14.5,61070,,,,,,left_only
12043,Florida,Glades,12324,21.2,12.7,38905,,,,,,left_only
12045,Florida,Gulf,14772,11.6,24.5,67361,,,,,,left_only
12047,Florida,Hamilton,13445,27.3,11.2,47696,,,,,,left_only
12055,Florida,Highlands,103808,15.4,19.7,55581,,,,,,left_only
12057,Florida,Hillsborough,1489634,13.2,37.2,75011,,,,,,left_only
12059,Florida,Holmes,19626,14.4,12.1,48236,,,,,,left_only
12061,Florida,Indian River,163856,11.4,33.4,71049,,,,,,left_only
12063,Florida,Jackson,47652,18.8,14.6,47327,,,,,,left_only
12067,Florida,Lafayette,8035,17.8,7.9,60692,,,,,,left_only
12069,Florida,Lake,398696,9.5,26.8,69956,,,,,,left_only
12075,Florida,Levy,44276,17.2,16.2,53805,,,,,,left_only
12077,Florida,Liberty,7650,20.8,15.8,53824,,,,,,left_only
12081,Florida,Manatee,416020,10.4,34.3,75792,,,,,,left_only
12091,Florida,Okaloosa,214281,9.3,34.2,79097,,,,,,left_only
12095,Florida,Orange,1440471,13.0,38.4,77011,,,,,,left_only
12097,Florida,Osceola,406943,12.5,28.3,68711,,,,,,left_only
12101,Florida,Pasco,588758,11.1,28.0,67384,,,,,,left_only
12109,Florida,St. Johns,292243,6.7,48.6,106169,,,,,,left_only
12111,Florida,St. Lucie,346237,11.6,25.4,69027,,,,,,left_only
12119,Florida,Sumter,137536,9.1,35.1,73297,,,,,,left_only
12121,Florida,Suwannee,44484,14.2,16.4,55479,,,,,,left_only
12125,Florida,Union,15551,18.7,10.0,64922,,,,,,left_only
12127,Florida,Volusia,568229,12.2,27.2,66581,,,,,,left_only
12133,Florida,Washington,25259,18.9,12.5,52723,,,,,,left_only
13001,Georgia,Appling,18426,23.8,9.9,43728,,,,,,left_only
13005,Georgia,Bacon,11129,20.9,11.0,50310,,,,,,left_only
13007,Georgia,Baker,2830,29.4,16.9,44405,,,,,,left_only
13011,Georgia,Banks,18757,12.8,17.3,68830,,,,,,left_only
13021,Georgia,Bibb,156543,24.8,26.0,50747,,,,,,left_only
13025,Georgia,Brantley,18171,16.9,10.9,47801,,,,,,left_only
13037,Georgia,Calhoun,5528,22.7,12.1,55714,,,,,,left_only
13039,Georgia,Camden,56036,15.0,22.4,72399,,,,,,left_only
13049,Georgia,Charlton,12711,22.5,11.4,48534,,,,,,left_only
13051,Georgia,Chatham,298143,14.3,36.8,69575,,,,,,left_only
13053,Georgia,Chattahoochee,9181,16.2,27.6,59221,,,,,,left_only
13063,Georgia,Clayton,298771,16.8,21.3,58507,,,,,,left_only
13067,Georgia,Cobb,769152,8.5,50.4,98712,,,,,,left_only
13071,Georgia,Colquitt,45907,23.9,15.7,49691,,,,,,left_only
13083,Georgia,Dade,16196,8.5,19.0,58936,,,,,,left_only
13091,Georgia,Dodge,19909,22.2,15.2,50152,,,,,,left_only
13093,Georgia,Dooly,11026,19.7,13.4,56545,,,,,,left_only
13101,Georgia,Echols,3705,12.4,14.4,61723,,,,,,left_only
13105,Georgia,Elbert,19725,20.6,14.9,49727,,,,,,left_only
13107,Georgia,Emanuel,22961,24.7,12.8,50053,,,,,,left_only
13109,Georgia,Evans,10740,18.4,15.1,53908,,,,,,left_only
13119,Georgia,Franklin,23840,20.4,16.9,52264,,,,,,left_only
13127,Georgia,Glynn,84987,16.3,30.4,68546,,,,,,left_only
13131,Georgia,Grady,26056,20.6,15.3,54312,,,,,,left_only
13141,Georgia,Hancock,8630,31.5,8.4,33182,,,,,,left_only
13153,Georgia,Houston,166902,10.1,32.3,80743,,,,,,left_only
13157,Georgia,Jackson,80640,8.3,27.3,85012,,,,,,left_only
13159,Georgia,Jasper,15345,14.0,19.9,59574,,,,,,left_only
13161,Georgia,Jeff Davis,14838,26.6,11.5,40879,,,,,,left_only
13163,Georgia,Jefferson,15468,18.8,11.2,46561,,,,,,left_only
13165,Georgia,Jenkins,8674,23.6,7.8,36906,,,,,,left_only
13167,Georgia,Johnson,9192,17.5,9.1,54183,,,,,,left_only
13169,Georgia,Jones,28526,13.5,18.4,68259,,,,,,left_only
13171,Georgia,Lamar,19098,10.5,19.5,68457,,,,,,left_only
13179,Georgia,Liberty,66826,14.5,19.9,59013,,,,,,left_only
13181,Georgia,Lincoln,7773,18.1,16.1,50688,,,,,,left_only
13183,Georgia,Long,17512,16.0,12.8,64747,,,,,,left_only
13193,Georgia,Macon,11953,25.5,11.0,37177,,,,,,left_only
13201,Georgia,Miller,5873,24.1,21.9,58407,,,,,,left_only
13209,Georgia,Montgomery,8675,16.4,20.2,51188,,,,,,left_only
13211,Georgia,Morgan,20614,7.4,30.1,85692,,,,,,left_only
13215,Georgia,Muscogee,204383,18.8,29.7,56622,,,,,,left_only
13221,Georgia,Oglethorpe,15221,11.2,24.5,69784,,,,,,left_only
13235,Georgia,Pulaski,9893,18.3,12.0,47688,,,,,,left_only
13239,Georgia,Quitman,2092,15.5,9.0,36838,,,,,,left_only
13243,Georgia,Randolph,6270,26.8,15.0,25425,,,,,,left_only
