state,county,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status
Arkansas,Izard,72.0,79.0,55.0,47.0,Non-Metro
Arkansas,Jackson,21.0,83.0,23.0,58.0,Non-Metro
Arkansas,Jefferson,70.0,387.0,76.0,321.0,Non-Metro
Arkansas,Johnson,65.0,86.0,46.0,49.0,Non-Metro
Arkansas,Lafayette,14.0,22.0,13.0,18.0,Non-Metro
Arkansas,Lawrence,23.0,69.0,27.0,72.0,Non-Metro
Arkansas,Lincoln,19.0,83.0,13.0,66.0,Non-Metro
Arkansas,Logan,75.0,147.0,58.0,142.0,Non-Metro
Arkansas,Marion,42.0,130.0,24.0,84.0,Non-Metro
Arkansas,Mississippi,45.0,237.0,42.0,192.0,Non-Metro
Arkansas,Montgomery,30.0,41.0,15.0,11.0,Non-Metro
Arkansas,Newton,19.0,38.0,18.0,38.0,Non-Metro
Arkansas,Pike,8.0,40.0,6.0,27.0,Non-Metro
Arkansas,Polk,69.0,52.0,57.0,29.0,Non-Metro
Arkansas,Pope,100.0,176.0,110.0,153.0,Non-Metro
Arkansas,Prairie,27.0,66.0,38.0,40.0,Non-Metro
Arkansas,Randolph,44.0,117.0,28.0,95.0,Non-Metro
Arkansas,Scott,21.0,48.0,8.0,35.0,Non-Metro
Arkansas,Searcy,16.0,24.0,23.0,21.0,Non-Metro
Arkansas,Sevier,32.0,32.0,22.0,20.0,Non-Metro
Arkansas,Stone,26.0,98.0,29.0,56.0,Non-Metro
Arkansas,Union,73.0,185.0,81.0,189.0,Non-Metro
Arkansas,Van Buren,64.0,163.0,81.0,131.0,Non-Metro
Arkansas,White,232.0,477.0,211.0,412.0,Non-Metro
Arkansas,Woodruff,8.0,22.0,10.0,27.0,Non-Metro
Arkansas,Yell,46.0,79.0,47.0,45.0,Non-Metro
California,Alameda,864.0,2944.0,776.0,2182.0,Metro
California,Butte,439.0,870.0,362.0,652.0,Metro
California,Contra Costa,514.0,1837.0,479.0,2333.0,Metro
