state,2024_metro_status,county,2024_violent_crime,2024_property_crime
Arkansas,Non-Metro,Searcy,23.0,21.0
Arkansas,Non-Metro,Sevier,22.0,20.0
Arkansas,Non-Metro,Sharp,35.0,79.0
Arkansas,Non-Metro,Stone,29.0,56.0
Arkansas,Non-Metro,Union,81.0,189.0
Arkansas,Non-Metro,Van Buren,81.0,131.0
Arkansas,Non-Metro,White,211.0,412.0
Arkansas,Non-Metro,Woodruff,10.0,27.0
Arkansas,Non-Metro,Yell,47.0,45.0
California,Metro,Alameda,776.0,2182.0
California,Metro,Butte,362.0,652.0
California,Metro,Contra Costa,479.0,2333.0
California,Metro,El Dorado,281.0,786.0
California,Metro,Fresno,1174.0,2857.0
California,Metro,Imperial,108.0,267.0
California,Metro,Kern,3160.0,7085.0
California,Metro,Kings,154.0,401.0
California,Metro,Los Angeles,5909.0,17982.0
California,Metro,Madera,338.0,980.0
California,Metro,Marin,79.0,403.0
California,Metro,Merced,365.0,1383.0
California,Metro,Monterey,394.0,712.0
California,Metro,Napa,74.0,158.0
California,Metro,Orange,423.0,894.0
California,Metro,Placer,357.0,851.0
California,Metro,Riverside,998.0,5963.0
California,Metro,Sacramento,2825.0,8631.0
California,Metro,San Benito,62.0,133.0
California,Metro,San Bernardino,1505.0,3474.0
California,Metro,San Diego,1265.0,2453.0
California,Metro,San Joaquin,776.0,1849.0
California,Metro,San Luis Obispo,569.0,566.0
California,Metro,San Mateo,239.0,1630.0
California,Metro,Santa Barbara,298.0,941.0
California,Metro,Santa Clara,274.0,1435.0
California,Metro,Santa Cruz,282.0,995.0
California,Metro,Shasta,272.0,517.0
California,Metro,Solano,125.0,396.0
California,Metro,Sonoma,274.0,745.0
California,Metro,Stanislaus,383.0,878.0
California,Metro,Sutter,116.0,383.0
California,Metro,Tulare,703.0,1687.0
California,Metro,Ventura,174.0,603.0
California,Metro,Yolo,42.0,211.0
California,Metro,Yuba,359.0,483.0
California,Non-Metro,Alpine,12.0,21.0
California,Non-Metro,Amador,82.0,182.0
California,Non-Metro,Calaveras,161.0,418.0
California,Non-Metro,Colusa,20.0,96.0
California,Non-Metro,Del Norte,49.0,93.0
California,Non-Metro,Glenn,101.0,277.0
California,Non-Metro,Humboldt,202.0,568.0
California,Non-Metro,Inyo,96.0,57.0
California,Non-Metro,Lake,291.0,365.0
California,Non-Metro,Lassen,47.0,119.0
California,Non-Metro,Mariposa,94.0,177.0
California,Non-Metro,Mendocino,185.0,72.0
California,Non-Metro,Modoc,21.0,27.0
California,Non-Metro,Mono,15.0,27.0
California,Non-Metro,Nevada,168.0,302.0
California,Non-Metro,Sierra,15.0,18.0
California,Non-Metro,Siskiyou,72.0,32.0
California,Non-Metro,Tehama,121.0,282.0
California,Non-Metro,Trinity,82.0,140.0
California,Non-Metro,Tuolumne,230.0,358.0
Colorado,Metro,Adams,440.0,2180.0
Colorado,Metro,Arapahoe,332.0,1930.0
Colorado,Metro,Boulder,85.0,760.0
Colorado,Metro,Clear Creek,2.0,27.0
Colorado,Metro,Douglas,426.0,2239.0
Colorado,Metro,Elbert,17.0,63.0
Colorado,Metro,El Paso,600.0,2810.0
Colorado,Metro,Gilpin,9.0,51.0
Colorado,Metro,Jefferson,430.0,2356.0
Colorado,Metro,Larimer,175.0,712.0
Colorado,Metro,Mesa,165.0,886.0
Colorado,Metro,Teller,3.0,4.0
Colorado,Metro,Weld,156.0,737.0
Colorado,Non-Metro,Alamosa,11.0,115.0
Colorado,Non-Metro,Archuleta,18.0,20.0
