NAME,S1701_C03_001E,S1501_C02_015E,S1901_C01_012E,state,county
"Richmond County, Georgia",21.1,24.1,53197,13,245
"Rockdale County, Georgia",10.7,29.1,72349,13,247
"Schley County, Georgia",13.2,19.0,59647,13,249
"Screven County, Georgia",18.1,14.7,53017,13,251
"Seminole County, Georgia",19.0,15.8,49559,13,253
"Spalding County, Georgia",18.7,17.9,60217,13,255
"Stephens County, Georgia",13.9,14.9,52264,13,257
"Stewart County, Georgia",27.8,12.3,35000,13,259
"Sumter County, Georgia",22.7,21.3,41877,13,261
"Talbot County, Georgia",21.6,15.0,45098,13,263
"Taliaferro County, Georgia",21.4,9.9,48036,13,265
"Tattnall County, Georgia",22.7,14.6,52351,13,267
"Taylor County, Georgia",29.4,18.1,41743,13,269
"Telfair County, Georgia",31.0,10.1,44948,13,271
"Terrell County, Georgia",33.0,11.5,43812,13,273
"Thomas County, Georgia",17.9,23.6,60140,13,275
"Tift County, Georgia",20.9,20.2,53165,13,277
"Toombs County, Georgia",19.7,19.5,54130,13,279
"Towns County, Georgia",12.9,32.8,58400,13,281
"Treutlen County, Georgia",25.0,12.8,43750,13,283
"Troup County, Georgia",18.5,22.5,54905,13,285
"Turner County, Georgia",21.6,11.1,39565,13,287
"Twiggs County, Georgia",14.9,10.9,55439,13,289
"Union County, Georgia",10.4,25.7,65697,13,291
"Upson County, Georgia",21.3,14.8,50904,13,293
"Walker County, Georgia",13.8,20.1,55887,13,295
"Walton County, Georgia",12.2,24.9,82381,13,297
"Ware County, Georgia",22.8,15.0,44833,13,299
"Warren County, Georgia",21.8,12.7,46776,13,301
"Washington County, Georgia",15.5,17.5,44009,13,303
"Wayne County, Georgia",20.5,14.0,49562,13,305
"Webster County, Georgia",26.4,11.3,40764,13,307
"Wheeler County, Georgia",21.5,12.2,45262,13,309
"White County, Georgia",11.7,24.3,69747,13,311
"Whitfield County, Georgia",13.7,19.3,64262,13,313
"Wilcox County, Georgia",23.1,14.1,48036,13,315
"Wilkes County, Georgia",17.0,15.7,52542,13,317
"Wilkinson County, Georgia",20.3,12.7,46673,13,319
"Worth County, Georgia",20.2,11.3,57201,13,321
"Hawaii County, Hawaii",14.6,30.9,77215,15,001
"Honolulu County, Hawaii",9.1,37.7,104264,15,003
"Kalawao County, Hawaii",31.7,32.6,86250,15,005
"Kauai County, Hawaii",8.8,30.2,93612,15,007
"Maui County, Hawaii",9.8,30.1,95076,15,009
"Ada County, Idaho",8.5,43.9,88907,16,001
"Adams County, Idaho",15.0,21.3,59286,16,003
"Bannock County, Idaho",12.2,30.2,64080,16,005
"Bear Lake County, Idaho",10.2,20.3,67304,16,007
"Benewah County, Idaho",15.0,19.8,56553,16,009
"Bingham County, Idaho",11.0,20.8,76842,16,011
"Blaine County, Idaho",7.4,45.5,84470,16,013
"Boise County, Idaho",8.2,29.9,77349,16,015
"Bonner County, Idaho",10.7,28.9,65168,16,017
"Bonneville County, Idaho",9.5,32.2,76646,16,019
"Boundary County, Idaho",17.2,19.6,62438,16,021
"Butte County, Idaho",21.3,13.8,43281,16,023
"Camas County, Idaho",6.7,27.4,55536,16,025
"Canyon County, Idaho",10.1,22.8,72355,16,027
"Caribou County, Idaho",7.3,15.5,66653,16,029
"Cassia County, Idaho",10.3,20.9,67042,16,031
"Clark County, Idaho",12.7,17.3,52083,16,033
"Clearwater County, Idaho",12.5,19.4,57961,16,035
"Custer County, Idaho",11.5,25.2,56957,16,037
"Elmore County, Idaho",12.4,21.2,58976,16,039
"Franklin County, Idaho",8.4,21.5,65991,16,041
"Fremont County, Idaho",9.8,21.8,72767,16,043
"Gem County, Idaho",10.4,22.3,66245,16,045
"Gooding County, Idaho",15.3,17.1,62395,16,047
"Idaho County, Idaho",10.8,22.0,60975,16,049
"Jefferson County, Idaho",9.2,27.2,82952,16,051
"Jerome County, Idaho",13.9,13.4,69338,16,053
"Kootenai County, Idaho",9.3,28.8,77034,16,055
"Latah County, Idaho",15.3,44.9,65179,16,057
"Lemhi County, Idaho",11.8,22.9,52057,16,059
"Lewis County, Idaho",17.4,20.0,49643,16,061
"Lincoln County, Idaho",9.4,11.6,66038,16,063
"Madison County, Idaho",26.8,40.3,58259,16,065
"Minidoka County, Idaho",14.9,16.8,70060,16,067
"Nez Perce County, Idaho",13.1,26.8,71466,16,069
"Oneida County, Idaho",11.8,26.2,72563,16,071
"Owyhee County, Idaho",13.4,13.7,59773,16,073
"Payette County, Idaho",9.0,19.6,65723,16,075
"Power County, Idaho",8.1,16.7,59760,16,077
"Shoshone County, Idaho",15.1,11.5,49975,16,079
"Teton County, Idaho",9.4,48.3,90740,16,081
"Twin Falls County, Idaho",10.7,23.0,65338,16,083
"Valley County, Idaho",14.2,35.4,76125,16,085
"Washington County, Idaho",15.3,19.0,53608,16,087
"Adams County, Illinois",12.3,27.0,64962,17,001
"Alexander County, Illinois",21.0,12.6,43523,17,003
"Bond County, Illinois",12.7,21.2,61603,17,005
"Boone County, Illinois",10.5,23.2,81638,17,007
"Brown County, Illinois",8.9,15.1,72288,17,009
"Bureau County, Illinois",12.6,21.4,65894,17,011
"Calhoun County, Illinois",5.8,18.4,92095,17,013
"Carroll County, Illinois",13.6,18.2,60871,17,015
"Cass County, Illinois",10.9,20.0,64907,17,017
"Champaign County, Illinois",18.0,46.6,63091,17,019
"Christian County, Illinois",11.1,16.5,59253,17,021
"Clark County, Illinois",9.5,24.3,70625,17,023
"Clay County, Illinois",16.7,15.6,57266,17,025
"Clinton County, Illinois",7.5,24.4,82314,17,027
"Coles County, Illinois",18.4,27.1,56040,17,029
"Cook County, Illinois",13.3,41.9,81797,17,031
"Crawford County, Illinois",11.6,20.6,67614,17,033
"Cumberland County, Illinois",9.9,18.6,69826,17,035
"DeKalb County, Illinois",15.9,32.7,69022,17,037
"De Witt County, Illinois",10.1,21.4,64802,17,039
"Douglas County, Illinois",8.9,20.2,74186,17,041
"DuPage County, Illinois",6.4,51.4,110502,17,043
"Edgar County, Illinois",11.8,20.1,56909,17,045
"Edwards County, Illinois",17.0,13.9,59386,17,047
"Effingham County, Illinois",10.6,26.0,75380,17,049
"Fayette County, Illinois",16.5,16.6,57113,17,051
"Ford County, Illinois",12.7,19.4,60782,17,053
"Franklin County, Illinois",16.9,17.1,53471,17,055
"Fulton County, Illinois",12.6,17.6,58617,17,057
"Gallatin County, Illinois",15.6,15.3,54626,17,059
"Greene County, Illinois",14.2,16.3,60976,17,061
"Grundy County, Illinois",6.3,24.2,93060,17,063
"Hamilton County, Illinois",12.5,18.5,61520,17,065
"Hancock County, Illinois",12.7,24.2,65044,17,067
"Hardin County, Illinois",10.5,12.2,57155,17,069
"Henderson County, Illinois",11.6,19.2,65651,17,071
"Henry County, Illinois",8.1,24.3,69912,17,073
"Iroquois County, Illinois",13.4,16.7,62439,17,075
"Jackson County, Illinois",21.8,35.1,45572,17,077
"Jasper County, Illinois",8.7,20.6,71094,17,079
"Jefferson County, Illinois",14.2,18.4,61102,17,081
"Jersey County, Illinois",10.0,20.5,79104,17,083
"Jo Daviess County, Illinois",8.0,28.8,74954,17,085
"Johnson County, Illinois",16.7,18.8,65203,17,087
"Kane County, Illinois",8.3,37.5,100678,17,089
"Kankakee County, Illinois",12.5,20.4,68325,17,091
"Kendall County, Illinois",4.9,36.4,110474,17,093
"Knox County, Illinois",15.9,20.3,53291,17,095
"Lake County, Illinois",8.1,47.0,108917,17,097
"LaSalle County, Illinois",13.5,18.7,72281,17,099
"Lawrence County, Illinois",14.7,14.6,53438,17,101
"Lee County, Illinois",11.7,19.4,68459,17,103
"Livingston County, Illinois",10.0,18.5,70796,17,105
"Logan County, Illinois",13.7,19.9,64188,17,107
"McDonough County, Illinois",19.9,31.8,50434,17,109
"McHenry County, Illinois",6.1,35.2,102836,17,111
"McLean County, Illinois",13.0,46.9,78329,17,113
"Macon County, Illinois",14.6,24.1,62449,17,115
"Macoupin County, Illinois",14.4,18.8,68518,17,117
"Madison County, Illinois",11.3,30.8,74800,17,119
"Marion County, Illinois",16.2,17.3,60839,17,121
"Marshall County, Illinois",11.7,18.7,69818,17,123
"Mason County, Illinois",14.0,17.1,62127,17,125
"Massac County, Illinois",14.9,16.3,62584,17,127
"Menard County, Illinois",9.8,26.5,81334,17,129
"Mercer County, Illinois",7.9,18.9,71710,17,131
"Monroe County, Illinois",4.6,38.2,101635,17,133
"Montgomery County, Illinois",13.8,18.2,61863,17,135
"Morgan County, Illinois",12.5,23.3,65175,17,137
"Moultrie County, Illinois",9.8,18.8,71676,17,139
"Ogle County, Illinois",8.9,24.0,79244,17,141
"Peoria County, Illinois",15.4,34.5,64938,17,143
"Perry County, Illinois",16.9,12.3,59286,17,145
"Piatt County, Illinois",5.9,31.9,87516,17,147
"Pike County, Illinois",15.3,18.8,58029,17,149
"Pope County, Illinois",14.3,16.8,62500,17,151
"Pulaski County, Illinois",26.1,11.9,43227,17,153
"Putnam County, Illinois",9.9,24.6,77526,17,155
"Randolph County, Illinois",12.3,14.2,68870,17,157
"Richland County, Illinois",11.9,18.9,60404,17,159
"Rock Island County, Illinois",15.4,24.1,66768,17,161
"St. Clair County, Illinois",13.6,30.7,70178,17,163
"Saline County, Illinois",17.1,20.2,54945,17,165
"Sangamon County, Illinois",12.9,35.1,74114,17,167
"Schuyler County, Illinois",19.3,18.9,66059,17,169
"Scott County, Illinois",10.6,22.2,73013,17,171
"Shelby County, Illinois",10.0,17.6,68457,17,173
"Stark County, Illinois",12.0,19.3,62284,17,175
"Stephenson County, Illinois",13.1,21.7,61943,17,177
"Tazewell County, Illinois",8.7,28.4,76704,17,179
"Union County, Illinois",19.4,20.9,56420,17,181
"Vermilion County, Illinois",17.2,16.2,54537,17,183
"Wabash County, Illinois",14.1,18.7,53650,17,185
"Warren County, Illinois",12.8,22.0,64650,17,187
"Washington County, Illinois",7.8,24.4,75652,17,189
"Wayne County, Illinois",13.8,16.2,53107,17,191
"White County, Illinois",16.4,14.9,53097,17,193
"Whiteside County, Illinois",12.1,20.1,64536,17,195
"Will County, Illinois",7.0,36.5,107799,17,197
"Williamson County, Illinois",14.3,27.5,65521,17,199
"Winnebago County, Illinois",16.0,24.6,64363,17,201
"Woodford County, Illinois",7.6,36.1,85629,17,203
"Adams County, Indiana",12.4,15.2,63128,18,001
"Allen County, Indiana",12.2,31.1,68839,18,003
"Bartholomew County, Indiana",12.0,35.4,80365,18,005
"Benton County, Indiana",12.1,18.8,61811,18,007
"Blackford County, Indiana",17.5,13.5,47560,18,009
"Boone County, Indiana",5.1,50.5,104865,18,011
"Brown County, Indiana",8.6,26.0,72644,18,013
"Carroll County, Indiana",8.4,15.5,64003,18,015
"Cass County, Indiana",12.7,15.6,56525,18,017
"Clark County, Indiana",9.3,25.5,72298,18,019
"Clay County, Indiana",10.7,17.0,67676,18,021
"Clinton County, Indiana",8.5,16.7,63690,18,023
"Crawford County, Indiana",23.8,11.1,48993,18,025
"Daviess County, Indiana",10.4,15.1,68561,18,027
"Dearborn County, Indiana",8.1,26.0,82693,18,029
"Decatur County, Indiana",9.3,20.1,74228,18,031
"DeKalb County, Indiana",10.1,20.1,70080,18,033
"Delaware County, Indiana",19.9,25.7,56932,18,035
"Dubois County, Indiana",9.5,24.3,71918,18,037
"Elkhart County, Indiana",12.5,19.7,65617,18,039
"Fayette County, Indiana",16.7,16.4,56659,18,041
"Floyd County, Indiana",10.0,31.3,78179,18,043
"Fountain County, Indiana",12.4,13.7,62526,18,045
"Franklin County, Indiana",8.5,19.5,79702,18,047
"Fulton County, Indiana",12.6,16.2,62878,18,049
"Gibson County, Indiana",10.2,19.0,67763,18,051
"Grant County, Indiana",18.8,20.4,54007,18,053
"Greene County, Indiana",13.3,14.6,59753,18,055
"Hamilton County, Indiana",4.3,61.8,117957,18,057
"Hancock County, Indiana",4.5,34.2,91326,18,059
"Harrison County, Indiana",7.5,22.0,72468,18,061
"Hendricks County, Indiana",5.0,39.6,99988,18,063
"Henry County, Indiana",13.0,16.7,60144,18,065
"Howard County, Indiana",12.5,20.0,62496,18,067
"Huntington County, Indiana",10.1,23.1,62734,18,069
"Jackson County, Indiana",11.2,20.3,70208,18,071
"Jasper County, Indiana",6.9,18.1,79634,18,073
"Jay County, Indiana",13.2,12.7,54114,18,075
"Jefferson County, Indiana",11.2,18.1,59987,18,077
"Jennings County, Indiana",12.5,13.6,68476,18,079
"Johnson County, Indiana",7.2,33.3,87227,18,081
"Knox County, Indiana",13.4,17.8,58863,18,083
"Kosciusko County, Indiana",9.7,24.6,73922,18,085
"LaGrange County, Indiana",5.7,11.1,83741,18,087
"Lake County, Indiana",14.6,24.9,68985,18,089
"LaPorte County, Indiana",14.0,21.7,70452,18,091
"Lawrence County, Indiana",11.3,20.5,65551,18,093
"Madison County, Indiana",12.9,20.1,62632,18,095
"Marion County, Indiana",15.1,34.1,63450,18,097
"Marshall County, Indiana",10.9,20.4,68041,18,099
"Martin County, Indiana",16.4,13.2,65345,18,101
"Miami County, Indiana",15.2,16.1,61130,18,103
"Monroe County, Indiana",20.2,49.1,63372,18,105
"Montgomery County, Indiana",11.9,19.5,66571,18,107
"Morgan County, Indiana",8.5,20.6,79088,18,109
"Newton County, Indiana",13.5,13.7,68596,18,111
"Noble County, Indiana",8.5,17.8,70908,18,113
"Ohio County, Indiana",8.9,19.0,67942,18,115
"Orange County, Indiana",13.3,15.2,64758,18,117
"Owen County, Indiana",11.9,17.0,59586,18,119
"Parke County, Indiana",17.2,14.2,66776,18,121
"Perry County, Indiana",12.8,16.5,61099,18,123
"Pike County, Indiana",12.2,15.7,66250,18,125
"Porter County, Indiana",9.2,30.1,85828,18,127
"Posey County, Indiana",9.9,25.3,79124,18,129
"Pulaski County, Indiana",11.8,13.7,59956,18,131
"Putnam County, Indiana",8.1,19.9,76182,18,133
"Randolph County, Indiana",15.0,14.4,61121,18,135
"Ripley County, Indiana",9.6,19.4,71084,18,137
"Rush County, Indiana",13.0,16.8,64393,18,139
"St. Joseph County, Indiana",14.6,32.6,64885,18,141
"Scott County, Indiana",14.7,12.4,54583,18,143
"Shelby County, Indiana",11.5,19.4,71301,18,145
"Spencer County, Indiana",6.6,21.2,70890,18,147
"Starke County, Indiana",14.8,12.6,62933,18,149
"Steuben County, Indiana",8.8,24.7,71483,18,151
"Sullivan County, Indiana",13.5,14.3,54985,18,153
"Switzerland County, Indiana",11.1,10.0,65148,18,155
"Tippecanoe County, Indiana",19.0,40.1,58622,18,157
"Tipton County, Indiana",11.5,24.9,78309,18,159
"Union County, Indiana",6.4,20.6,79500,18,161
"Vanderburgh County, Indiana",14.4,27.1,60938,18,163
"Vermillion County, Indiana",13.3,17.2,59363,18,165
"Vigo County, Indiana",20.0,25.9,52525,18,167
"Wabash County, Indiana",10.7,21.6,68414,18,169
"Warren County, Indiana",12.7,17.2,74635,18,171
"Warrick County, Indiana",6.4,35.5,95027,18,173
"Washington County, Indiana",13.5,13.8,61358,18,175
"Wayne County, Indiana",16.9,20.2,56652,18,177
"Wells County, Indiana",7.2,18.9,69741,18,179
"White County, Indiana",10.0,18.3,66143,18,181
"Whitley County, Indiana",10.7,22.8,75790,18,183
"Adair County, Iowa",10.3,20.0,66176,19,001
"Adams County, Iowa",9.5,24.5,68828,19,003
"Allamakee County, Iowa",12.1,19.9,66000,19,005
"Appanoose County, Iowa",20.4,19.3,51146,19,007
"Audubon County, Iowa",11.8,20.6,54152,19,009
"Benton County, Iowa",7.9,24.9,84742,19,011
"Black Hawk County, Iowa",14.7,30.1,64581,19,013
"Boone County, Iowa",6.7,28.7,79741,19,015
"Bremer County, Iowa",7.5,35.2,83343,19,017
"Buchanan County, Iowa",7.0,22.3,78430,19,019
"Buena Vista County, Iowa",8.2,22.1,66564,19,021
"Butler County, Iowa",10.7,20.4,69651,19,023
"Calhoun County, Iowa",8.6,21.5,66875,19,025
"Carroll County, Iowa",8.3,23.4,68528,19,027
"Cass County, Iowa",17.4,21.6,61657,19,029
"Cedar County, Iowa",7.2,21.5,79080,19,031
"Cerro Gordo County, Iowa",9.4,24.3,65537,19,033
"Cherokee County, Iowa",15.2,21.6,64478,19,035
"Chickasaw County, Iowa",7.1,19.1,73421,19,037
"Clarke County, Iowa",13.8,16.0,66821,19,039
"Clay County, Iowa",11.5,26.0,64082,19,041
"Clayton County, Iowa",13.6,15.7,62326,19,043
"Clinton County, Iowa",13.1,22.1,65177,19,045
"Crawford County, Iowa",16.4,18.3,65039,19,047
"Dallas County, Iowa",5.8,51.6,102349,19,049
"Davis County, Iowa",7.2,17.6,79505,19,051
"Decatur County, Iowa",15.2,24.3,57146,19,053
"Delaware County, Iowa",7.9,19.7,76205,19,055
"Des Moines County, Iowa",14.1,23.8,60662,19,057
"Dickinson County, Iowa",6.3,32.3,74570,19,059
"Dubuque County, Iowa",9.4,32.9,75919,19,061
"Emmet County, Iowa",10.4,15.7,65181,19,063
"Fayette County, Iowa",12.5,18.2,58764,19,065
"Floyd County, Iowa",11.4,18.5,64500,19,067
"Franklin County, Iowa",15.1,18.2,63648,19,069
"Fremont County, Iowa",7.6,21.1,73750,19,071
"Greene County, Iowa",10.4,19.8,59159,19,073
"Grundy County, Iowa",6.4,24.7,83617,19,075
"Guthrie County, Iowa",9.3,24.3,79981,19,077
"Hamilton County, Iowa",8.0,22.0,71750,19,079
"Hancock County, Iowa",12.1,21.4,70212,19,081
"Hardin County, Iowa",8.6,21.2,64906,19,083
"Harrison County, Iowa",7.5,21.2,77027,19,085
"Henry County, Iowa",12.1,22.5,64604,19,087
"Howard County, Iowa",8.4,18.7,67336,19,089
"Humboldt County, Iowa",13.7,19.3,66994,19,091
"Ida County, Iowa",10.4,20.7,62841,19,093
"Iowa County, Iowa",9.2,24.2,72185,19,095
"Jackson County, Iowa",10.3,18.4,71605,19,097
"Jasper County, Iowa",8.2,19.9,70128,19,099
"Jefferson County, Iowa",14.6,41.6,56824,19,101
"Johnson County, Iowa",16.7,54.6,74721,19,103
"Jones County, Iowa",10.4,20.7,73071,19,105
"Keokuk County, Iowa",12.0,15.9,60856,19,107
"Kossuth County, Iowa",9.6,22.2,65656,19,109
"Lee County, Iowa",13.0,21.0,59803,19,111
"Linn County, Iowa",9.9,34.8,76421,19,113
"Louisa County, Iowa",9.9,16.5,80223,19,115
"Lucas County, Iowa",16.5,14.5,67921,19,117
"Lyon County, Iowa",5.3,20.8,72881,19,119
"Madison County, Iowa",6.8,25.5,89542,19,121
"Mahaska County, Iowa",11.9,23.0,69019,19,123
"Marion County, Iowa",7.1,33.1,78059,19,125
"Marshall County, Iowa",11.1,21.4,72785,19,127
"Mills County, Iowa",6.9,32.0,87810,19,129
"Mitchell County, Iowa",6.9,22.7,68704,19,131
"Monona County, Iowa",11.2,18.7,62944,19,133
"Monroe County, Iowa",9.2,20.0,72518,19,135
"Montgomery County, Iowa",12.0,18.7,63190,19,137
"Muscatine County, Iowa",11.6,22.7,69512,19,139
"O'Brien County, Iowa",13.8,22.5,68216,19,141
"Osceola County, Iowa",16.3,15.4,69138,19,143
"Page County, Iowa",13.4,18.8,57752,19,145
"Palo Alto County, Iowa",11.7,20.5,68963,19,147
"Plymouth County, Iowa",6.8,23.9,81600,19,149
"Pocahontas County, Iowa",8.7,18.7,63423,19,151
"Polk County, Iowa",10.1,39.5,81621,19,153
"Pottawattamie County, Iowa",10.9,23.5,71446,19,155
"Poweshiek County, Iowa",11.1,28.2,64837,19,157
"Ringgold County, Iowa",9.0,25.2,69821,19,159
"Sac County, Iowa",7.9,21.2,70991,19,161
"Scott County, Iowa",11.6,36.2,76363,19,163
"Shelby County, Iowa",8.5,23.3,67690,19,165
"Sioux County, Iowa",6.4,30.4,84736,19,167
"Story County, Iowa",18.6,53.3,69006,19,169
"Tama County, Iowa",15.4,19.4,67955,19,171
"Taylor County, Iowa",10.4,15.5,67279,19,173
"Union County, Iowa",12.6,24.1,56813,19,175
"Van Buren County, Iowa",12.2,19.4,60183,19,177
"Wapello County, Iowa",16.7,19.4,60034,19,179
"Warren County, Iowa",5.4,32.7,92990,19,181
"Washington County, Iowa",8.5,24.9,71339,19,183
"Wayne County, Iowa",15.0,16.0,59118,19,185
"Webster County, Iowa",11.7,20.5,68054,19,187
"Winnebago County, Iowa",9.8,25.1,63719,19,189
"Winneshiek County, Iowa",7.9,31.5,75652,19,191
"Woodbury County, Iowa",13.3,23.4,70147,19,193
"Worth County, Iowa",7.3,20.1,76875,19,195
"Wright County, Iowa",14.8,23.5,64033,19,197
"Allen County, Kansas",13.1,21.3,57618,20,001
"Anderson County, Kansas",10.9,15.8,64925,20,003
"Atchison County, Kansas",12.8,22.9,62164,20,005
"Barber County, Kansas",17.6,27.1,57615,20,007
"Barton County, Kansas",14.7,21.7,56733,20,009
"Bourbon County, Kansas",11.8,24.3,67555,20,011
"Brown County, Kansas",14.2,18.3,58886,20,013
"Butler County, Kansas",9.0,32.6,80375,20,015
"Chase County, Kansas",10.5,29.3,54518,20,017
"Chautauqua County, Kansas",16.9,18.3,54592,20,019
"Cherokee County, Kansas",13.1,20.1,58274,20,021
"Cheyenne County, Kansas",17.4,21.6,55765,20,023
"Clark County, Kansas",9.4,31.0,65515,20,025
"Clay County, Kansas",12.9,23.4,63136,20,027
"Cloud County, Kansas",10.2,22.4,57333,20,029
"Coffey County, Kansas",9.6,21.2,67377,20,031
"Comanche County, Kansas",11.2,19.2,49417,20,033
"Cowley County, Kansas",13.9,24.3,58263,20,035
"Crawford County, Kansas",20.8,32.0,50311,20,037
"Decatur County, Kansas",13.0,27.8,52030,20,039
"Dickinson County, Kansas",8.8,21.9,67982,20,041
"Doniphan County, Kansas",9.8,21.5,72833,20,043
"Douglas County, Kansas",15.2,52.0,68756,20,045
"Edwards County, Kansas",16.4,20.7,53792,20,047
"Elk County, Kansas",16.7,20.6,56087,20,049
"Ellis County, Kansas",17.7,39.5,59889,20,051
"Ellsworth County, Kansas",8.5,22.1,66792,20,053
"Finney County, Kansas",11.7,19.7,72437,20,055
"Ford County, Kansas",14.4,20.7,70495,20,057
"Franklin County, Kansas",9.6,25.3,72142,20,059
"Geary County, Kansas",19.3,24.4,57344,20,061
"Gove County, Kansas",4.1,21.0,63203,20,063
"Graham County, Kansas",11.3,27.4,52909,20,065
"Grant County, Kansas",5.4,25.6,72484,20,067
"Gray County, Kansas",6.9,24.9,77885,20,069
"Greeley County, Kansas",10.0,33.5,78819,20,071
"Greenwood County, Kansas",14.9,19.0,58276,20,073
"Hamilton County, Kansas",3.7,20.8,61929,20,075
"Harper County, Kansas",15.3,21.7,55417,20,077
"Harvey County, Kansas",8.0,31.5,73269,20,079
"Haskell County, Kansas",10.8,22.2,69138,20,081
"Hodgeman County, Kansas",6.0,28.4,63125,20,083
"Jackson County, Kansas",9.1,21.0,72703,20,085
"Jefferson County, Kansas",6.3,24.6,77393,20,087
"Jewell County, Kansas",12.8,18.8,52344,20,089
"Johnson County, Kansas",5.3,56.9,107261,20,091
"Kearny County, Kansas",6.1,14.6,74135,20,093
"Kingman County, Kansas",9.4,23.8,59819,20,095
"Kiowa County, Kansas",5.7,27.6,73214,20,097
"Labette County, Kansas",16.1,21.1,55439,20,099
"Lane County, Kansas",8.1,24.6,53042,20,101
"Leavenworth County, Kansas",8.6,36.6,86906,20,103
"Lincoln County, Kansas",11.9,21.5,53546,20,105
"Linn County, Kansas",10.7,22.5,59200,20,107
"Logan County, Kansas",13.2,26.7,71389,20,109
"Lyon County, Kansas",15.2,27.7,59078,20,111
"McPherson County, Kansas",9.1,33.1,77701,20,113
"Marion County, Kansas",10.0,28.8,63438,20,115
"Marshall County, Kansas",9.4,18.9,70828,20,117
"Meade County, Kansas",6.6,22.8,74868,20,119
"Miami County, Kansas",6.7,32.1,88000,20,121
"Mitchell County, Kansas",12.5,25.4,58233,20,123
"Montgomery County, Kansas",16.3,21.3,53242,20,125
"Morris County, Kansas",12.8,27.3,56716,20,127
"Morton County, Kansas",14.8,16.6,65625,20,129
"Nemaha County, Kansas",7.7,30.1,77375,20,131
"Neosho County, Kansas",15.4,21.8,55704,20,133
"Ness County, Kansas",11.4,23.0,66107,20,135
"Norton County, Kansas",8.5,19.4,50305,20,137
"Osage County, Kansas",11.0,21.0,70216,20,139
"Osborne County, Kansas",12.5,23.0,59408,20,141
"Ottawa County, Kansas",12.1,24.3,76755,20,143
"Pawnee County, Kansas",11.2,18.8,63625,20,145
"Phillips County, Kansas",13.8,22.3,61235,20,147
"Pottawatomie County, Kansas",7.1,36.5,87694,20,149
"Pratt County, Kansas",9.5,26.6,64348,20,151
"Rawlins County, Kansas",10.1,17.3,65000,20,153
"Reno County, Kansas",12.4,20.5,60498,20,155
"Republic County, Kansas",14.6,25.4,53611,20,157
"Rice County, Kansas",7.4,24.3,63947,20,159
"Riley County, Kansas",22.0,48.0,59560,20,161
"Rooks County, Kansas",5.3,24.0,61596,20,163
"Rush County, Kansas",11.4,21.5,60288,20,165
"Russell County, Kansas",15.3,18.1,53902,20,167
"Saline County, Kansas",12.3,29.1,63316,20,169
"Scott County, Kansas",8.8,33.4,67788,20,171
"Sedgwick County, Kansas",14.0,31.6,67675,20,173
"Seward County, Kansas",13.0,12.7,62269,20,175
"Shawnee County, Kansas",12.4,32.3,66043,20,177
"Sheridan County, Kansas",10.4,24.3,70000,20,179
"Sherman County, Kansas",10.0,25.1,64444,20,181
"Smith County, Kansas",7.8,24.6,57024,20,183
"Stafford County, Kansas",10.8,26.3,63786,20,185
"Stanton County, Kansas",12.9,23.7,70361,20,187
"Stevens County, Kansas",15.3,16.2,61909,20,189
"Sumner County, Kansas",10.8,26.7,60348,20,191
"Thomas County, Kansas",6.9,30.2,73575,20,193
"Trego County, Kansas",5.5,28.7,73375,20,195
"Wabaunsee County, Kansas",7.1,26.6,70536,20,197
"Wallace County, Kansas",12.8,22.7,60263,20,199
"Washington County, Kansas",8.1,23.3,62452,20,201
"Wichita County, Kansas",16.3,18.8,71282,20,203
"Wilson County, Kansas",15.8,21.3,57056,20,205
"Woodson County, Kansas",12.3,22.6,48152,20,207
"Wyandotte County, Kansas",17.5,20.5,60582,20,209
"Adair County, Kentucky",18.0,18.8,50316,21,001
"Allen County, Kentucky",15.0,17.4,59029,21,003
"Anderson County, Kentucky",12.5,25.7,71747,21,005
"Ballard County, Kentucky",13.8,18.7,64740,21,007
"Barren County, Kentucky",21.0,17.8,49171,21,009
"Bath County, Kentucky",23.5,14.4,54128,21,011
"Bell County, Kentucky",27.1,13.9,32403,21,013
"Boone County, Kentucky",6.6,35.4,94752,21,015
"Bourbon County, Kentucky",13.7,25.5,56322,21,017
"Boyd County, Kentucky",17.7,19.4,60659,21,019
"Boyle County, Kentucky",14.2,27.4,61635,21,021
"Bracken County, Kentucky",20.1,17.0,59521,21,023
"Breathitt County, Kentucky",28.2,16.5,41101,21,025
"Breckinridge County, Kentucky",21.3,14.9,53673,21,027
"Bullitt County, Kentucky",9.5,18.9,77640,21,029
"Butler County, Kentucky",18.6,9.5,52003,21,031
"Caldwell County, Kentucky",13.9,18.1,57618,21,033
"Calloway County, Kentucky",17.2,32.3,51854,21,035
"Campbell County, Kentucky",10.8,39.5,77271,21,037
"Carlisle County, Kentucky",16.7,14.6,62019,21,039
"Carroll County, Kentucky",18.9,8.9,57753,21,041
"Carter County, Kentucky",19.6,15.4,50389,21,043
"Casey County, Kentucky",24.4,11.8,41689,21,045
"Christian County, Kentucky",17.2,20.0,54190,21,047
"Clark County, Kentucky",12.9,22.2,67824,21,049
"Clay County, Kentucky",31.8,16.6,39607,21,051
"Clinton County, Kentucky",18.4,16.5,42168,21,053
"Crittenden County, Kentucky",18.1,12.6,47003,21,055
"Cumberland County, Kentucky",33.9,17.5,39662,21,057
"Daviess County, Kentucky",15.2,25.2,65323,21,059
