NAME,S1701_C03_001E,S1501_C02_015E,S1901_C01_012E,state,county
"Yuma County, Arizona",16.5,16.7,60417,04,027
"Arkansas County, Arkansas",14.7,15.3,60831,05,001
"Ashley County, Arkansas",22.7,12.2,44481,05,003
"Baxter County, Arkansas",14.5,18.7,48427,05,005
"Benton County, Arkansas",7.6,36.6,89879,05,007
"Boone County, Arkansas",13.4,16.3,54195,05,009
"Bradley County, Arkansas",20.1,15.8,39565,05,011
"Calhoun County, Arkansas",13.3,18.1,63654,05,013
"Carroll County, Arkansas",16.3,21.1,55187,05,015
"Chicot County, Arkansas",24.4,17.2,39683,05,017
"Clark County, Arkansas",20.2,25.5,50985,05,019
"Clay County, Arkansas",17.2,15.6,48500,05,021
"Cleburne County, Arkansas",13.8,18.3,55979,05,023
"Cleveland County, Arkansas",15.6,16.2,50509,05,025
"Columbia County, Arkansas",22.7,20.4,47363,05,027
"Conway County, Arkansas",20.6,18.2,51212,05,029
"Craighead County, Arkansas",19.1,27.8,57615,05,031
"Crawford County, Arkansas",16.8,19.3,60362,05,033
"Crittenden County, Arkansas",20.7,17.2,54271,05,035
"Cross County, Arkansas",20.1,14.8,47012,05,037
"Dallas County, Arkansas",11.2,11.1,44694,05,039
"Desha County, Arkansas",28.9,13.0,36064,05,041
"Drew County, Arkansas",22.7,23.3,41071,05,043
"Faulkner County, Arkansas",15.0,33.2,65071,05,045
"Franklin County, Arkansas",18.9,13.2,51919,05,047
"Fulton County, Arkansas",14.8,15.7,38941,05,049
"Garland County, Arkansas",16.5,26.2,55409,05,051
"Grant County, Arkansas",12.3,20.9,72512,05,053
"Greene County, Arkansas",17.0,16.5,56793,05,055
"Hempstead County, Arkansas",19.0,14.6,47654,05,057
"Hot Spring County, Arkansas",17.1,15.8,52644,05,059
"Howard County, Arkansas",19.8,16.7,44492,05,061
"Independence County, Arkansas",19.6,16.9,56009,05,063
"Izard County, Arkansas",21.1,18.7,47728,05,065
"Jackson County, Arkansas",21.2,13.3,41215,05,067
"Jefferson County, Arkansas",20.6,20.6,48552,05,069
"Johnson County, Arkansas",19.4,18.1,44808,05,071
"Lafayette County, Arkansas",27.2,9.2,37237,05,073
"Lawrence County, Arkansas",18.2,14.0,44164,05,075
"Lee County, Arkansas",27.7,6.9,36860,05,077
"Lincoln County, Arkansas",17.7,10.9,51667,05,079
"Little River County, Arkansas",16.5,17.4,52241,05,081
"Logan County, Arkansas",14.4,15.5,54237,05,083
"Lonoke County, Arkansas",11.1,21.0,71449,05,085
"Madison County, Arkansas",15.0,12.8,53888,05,087
"Marion County, Arkansas",17.8,15.4,46953,05,089
"Miller County, Arkansas",21.0,16.0,49983,05,091
"Mississippi County, Arkansas",21.0,14.2,53428,05,093
"Monroe County, Arkansas",22.2,15.6,43955,05,095
"Montgomery County, Arkansas",20.8,16.8,49015,05,097
"Nevada County, Arkansas",28.5,11.7,41761,05,099
"Newton County, Arkansas",13.3,14.3,47395,05,101
"Ouachita County, Arkansas",17.9,15.1,49838,05,103
"Perry County, Arkansas",15.6,17.1,60078,05,105
"Phillips County, Arkansas",28.7,14.5,38874,05,107
"Pike County, Arkansas",18.8,19.6,51000,05,109
"Poinsett County, Arkansas",20.1,11.9,47188,05,111
"Polk County, Arkansas",19.0,17.2,49252,05,113
"Pope County, Arkansas",17.6,24.6,54606,05,115
"Prairie County, Arkansas",9.4,16.7,51094,05,117
"Pulaski County, Arkansas",16.2,37.4,60385,05,119
"Randolph County, Arkansas",21.1,14.5,52838,05,121
"St. Francis County, Arkansas",27.8,12.9,41784,05,123
"Saline County, Arkansas",9.1,28.5,76534,05,125
"Scott County, Arkansas",17.2,10.8,45955,05,127
"Searcy County, Arkansas",24.5,13.7,41978,05,129
"Sebastian County, Arkansas",16.3,24.4,56450,05,131
"Sevier County, Arkansas",19.6,10.9,51641,05,133
"Sharp County, Arkansas",17.3,11.9,42950,05,135
"Stone County, Arkansas",21.6,15.4,38531,05,137
"Union County, Arkansas",19.4,18.9,50221,05,139
"Van Buren County, Arkansas",19.5,15.8,47266,05,141
"Washington County, Arkansas",14.8,34.6,66426,05,143
"White County, Arkansas",16.4,19.8,53435,05,145
"Woodruff County, Arkansas",22.8,15.9,49982,05,147
"Yell County, Arkansas",13.3,14.3,58870,05,149
"Alameda County, California",9.2,51.5,126240,06,001
"Alpine County, California",12.3,42.1,110781,06,003
"Amador County, California",7.8,22.4,81526,06,005
"Butte County, California",18.3,31.7,68574,06,007
"Calaveras County, California",13.4,22.2,79877,06,009
"Colusa County, California",10.8,14.5,75149,06,011
"Contra Costa County, California",8.3,44.9,125727,06,013
"Del Norte County, California",11.6,21.0,66780,06,015
"El Dorado County, California",8.3,38.8,106190,06,017
"Fresno County, California",18.7,23.9,71434,06,019
"Glenn County, California",12.4,16.5,70487,06,021
"Humboldt County, California",18.9,32.1,61135,06,023
"Imperial County, California",19.6,16.1,56393,06,025
"Inyo County, California",10.5,31.8,72432,06,027
"Kern County, California",19.0,18.6,67660,06,029
"Kings County, California",16.8,13.9,68750,06,031
"Lake County, California",16.7,17.7,58738,06,033
"Lassen County, California",13.7,13.2,64395,06,035
"Los Angeles County, California",13.6,35.5,87760,06,037
"Madera County, California",19.9,17.1,75496,06,039
"Marin County, California",7.8,60.5,142785,06,041
"Mariposa County, California",13.9,30.9,65378,06,043
"Mendocino County, California",15.2,24.9,64688,06,045
"Merced County, California",18.4,14.8,65044,06,047
"Modoc County, California",20.3,23.0,56648,06,049
"Mono County, California",11.0,34.3,86953,06,051
"Monterey County, California",12.6,27.9,94486,06,053
"Napa County, California",8.4,38.5,108970,06,055
"Nevada County, California",10.6,39.5,84905,06,057
"Orange County, California",9.5,43.4,113702,06,059
"Placer County, California",6.7,42.9,114678,06,061
"Plumas County, California",10.7,20.5,64946,06,063
"Riverside County, California",11.1,25.1,89672,06,065
"Sacramento County, California",12.6,33.3,88724,06,067
"San Benito County, California",7.8,22.4,108289,06,069
"San Bernardino County, California",13.6,22.9,82184,06,071
"San Diego County, California",10.4,42.1,102285,06,073
"San Francisco County, California",10.6,60.1,141446,06,075
"San Joaquin County, California",12.6,21.6,88531,06,077
"San Luis Obispo County, California",12.8,39.2,93398,06,079
"San Mateo County, California",6.5,53.1,156000,06,081
"Santa Barbara County, California",13.8,35.9,95977,06,083
"Santa Clara County, California",6.9,55.9,159674,06,085
"Santa Cruz County, California",11.2,43.6,109266,06,087
"Shasta County, California",13.0,23.3,71931,06,089
"Sierra County, California",12.3,24.4,60000,06,091
"Siskiyou County, California",16.6,23.1,55499,06,093
"Solano County, California",9.7,28.4,99994,06,095
"Sonoma County, California",8.6,37.8,102840,06,097
"Stanislaus County, California",13.1,19.1,79661,06,099
"Sutter County, California",14.8,20.2,75450,06,101
"Tehama County, California",15.4,18.8,61834,06,103
"Trinity County, California",18.0,18.0,53498,06,105
"Tulare County, California",17.8,15.8,69489,06,107
"Tuolumne County, California",10.7,23.9,72259,06,109
"Ventura County, California",9.0,35.7,107327,06,111
"Yolo County, California",16.3,44.1,88818,06,113
"Yuba County, California",15.3,17.9,73313,06,115
"Adams County, Colorado",9.4,28.0,91387,08,001
"Alamosa County, Colorado",18.2,29.3,51445,08,003
"Arapahoe County, Colorado",8.5,45.7,97215,08,005
"Archuleta County, Colorado",8.3,40.7,76524,08,007
"Baca County, Colorado",24.1,24.1,40380,08,009
"Bent County, Colorado",31.7,14.2,49194,08,011
"Boulder County, Colorado",11.4,63.9,102772,08,013
"Broomfield County, Colorado",5.0,58.6,121025,08,014
"Chaffee County, Colorado",10.0,45.4,70909,08,015
"Cheyenne County, Colorado",11.4,24.4,67768,08,017
"Clear Creek County, Colorado",6.8,56.3,96667,08,019
"Conejos County, Colorado",13.8,23.3,47209,08,021
"Costilla County, Colorado",22.3,27.8,36519,08,023
"Crowley County, Colorado",18.2,12.7,47563,08,025
"Custer County, Colorado",9.7,35.3,72700,08,027
"Delta County, Colorado",14.2,25.7,58330,08,029
"Denver County, Colorado",11.2,55.6,91681,08,031
"Dolores County, Colorado",18.8,24.7,70490,08,033
"Douglas County, Colorado",3.2,60.9,145737,08,035
"Eagle County, Colorado",8.3,50.3,103174,08,037
"Elbert County, Colorado",5.3,35.2,129477,08,039
"El Paso County, Colorado",8.5,41.1,87470,08,041
"Fremont County, Colorado",14.0,21.0,61027,08,043
"Garfield County, Colorado",9.1,33.4,86172,08,045
"Gilpin County, Colorado",10.0,48.4,88654,08,047
"Grand County, Colorado",9.0,41.8,84558,08,049
"Gunnison County, Colorado",13.1,59.3,77358,08,051
"Hinsdale County, Colorado",4.5,47.1,64327,08,053
"Huerfano County, Colorado",17.5,27.1,52139,08,055
"Jackson County, Colorado",18.2,27.5,41809,08,057
"Jefferson County, Colorado",6.7,50.7,107800,08,059
"Kiowa County, Colorado",12.8,20.6,56389,08,061
"Kit Carson County, Colorado",9.1,18.4,59810,08,063
"Lake County, Colorado",7.2,46.1,93655,08,065
"La Plata County, Colorado",12.4,47.3,85296,08,067
"Larimer County, Colorado",11.1,51.7,91364,08,069
"Las Animas County, Colorado",17.4,17.3,50408,08,071
"Lincoln County, Colorado",10.3,25.7,54257,08,073
"Logan County, Colorado",13.1,18.9,55074,08,075
"Mesa County, Colorado",11.2,30.6,71485,08,077
"Mineral County, Colorado",13.0,54.5,52455,08,079
"Moffat County, Colorado",11.7,21.0,70975,08,081
"Montezuma County, Colorado",13.2,30.8,63005,08,083
"Montrose County, Colorado",11.9,28.3,66072,08,085
"Morgan County, Colorado",12.3,17.6,75407,08,087
"Otero County, Colorado",23.6,18.8,54897,08,089
"Ouray County, Colorado",5.0,54.0,84556,08,091
"Park County, Colorado",7.2,38.8,95450,08,093
"Phillips County, Colorado",15.7,25.7,60372,08,095
"Pitkin County, Colorado",7.2,64.0,100318,08,097
"Prowers County, Colorado",17.2,18.8,57601,08,099
"Pueblo County, Colorado",15.4,25.0,62250,08,101
"Rio Blanco County, Colorado",9.0,26.6,72620,08,103
"Rio Grande County, Colorado",14.9,31.1,62166,08,105
"Routt County, Colorado",6.4,52.1,104803,08,107
"Saguache County, Colorado",17.6,30.7,54283,08,109
"San Juan County, Colorado",16.8,47.2,73889,08,111
"San Miguel County, Colorado",8.4,65.2,80117,08,113
"Sedgwick County, Colorado",14.5,27.4,52833,08,115
"Summit County, Colorado",7.4,52.5,106255,08,117
"Teller County, Colorado",7.6,37.8,80666,08,119
"Washington County, Colorado",7.6,24.9,65164,08,121
"Weld County, Colorado",9.0,32.0,93287,08,123
"Yuma County, Colorado",15.0,26.0,60051,08,125
"Capitol Planning Region, Connecticut",10.3,41.5,91541,09,110
"Greater Bridgeport Planning Region, Connecticut",13.2,41.7,87135,09,120
"Lower Connecticut River Valley Planning Region, Connecticut",6.9,45.5,101117,09,130
"Naugatuck Valley Planning Region, Connecticut",10.3,33.8,86365,09,140
"Northeastern Connecticut Planning Region, Connecticut",8.6,26.2,87564,09,150
"Northwest Hills Planning Region, Connecticut",9.2,39.4,91035,09,160
"South Central Connecticut Planning Region, Connecticut",11.6,41.1,86266,09,170
"Southeastern Connecticut Planning Region, Connecticut",10.6,34.6,84185,09,180
"Western Connecticut Planning Region, Connecticut",7.4,55.0,124553,09,190
"Kent County, Delaware",11.3,26.7,72872,10,001
"New Castle County, Delaware",10.2,39.2,89901,10,003
"Sussex County, Delaware",11.5,32.6,78162,10,005
"District of Columbia, District of Columbia",14.5,63.6,106287,11,001
"Alachua County, Florida",19.7,47.7,59659,12,001
"Baker County, Florida",13.1,15.3,70833,12,003
"Bay County, Florida",11.7,28.0,70188,12,005
"Bradford County, Florida",19.1,15.0,59740,12,007
"Brevard County, Florida",9.9,33.5,75817,12,009
"Broward County, Florida",12.2,35.8,74534,12,011
"Calhoun County, Florida",21.2,13.1,46901,12,013
"Charlotte County, Florida",9.6,25.3,66154,12,015
"Citrus County, Florida",15.5,20.4,55355,12,017
"Clay County, Florida",9.1,28.7,86094,12,019
"Collier County, Florida",10.5,39.5,86173,12,021
"Columbia County, Florida",17.0,16.3,55070,12,023
"DeSoto County, Florida",23.1,11.0,50868,12,027
"Dixie County, Florida",19.3,8.1,47655,12,029
"Duval County, Florida",14.6,33.1,68447,12,031
"Escambia County, Florida",14.5,28.9,65715,12,033
"Flagler County, Florida",9.4,30.4,72923,12,035
"Franklin County, Florida",17.3,25.3,62734,12,037
"Gadsden County, Florida",27.7,20.1,46047,12,039
"Gilchrist County, Florida",11.2,14.5,61070,12,041
"Glades County, Florida",21.2,12.7,38905,12,043
"Gulf County, Florida",11.6,24.5,67361,12,045
"Hamilton County, Florida",27.3,11.2,47696,12,047
"Hardee County, Florida",24.3,12.3,54231,12,049
"Hendry County, Florida",21.6,10.7,53044,12,051
"Hernando County, Florida",12.0,20.4,63193,12,053
"Highlands County, Florida",15.4,19.7,55581,12,055
"Hillsborough County, Florida",13.2,37.2,75011,12,057
"Holmes County, Florida",14.4,12.1,48236,12,059
"Indian River County, Florida",11.4,33.4,71049,12,061
"Jackson County, Florida",18.8,14.6,47327,12,063
"Jefferson County, Florida",20.3,18.8,56984,12,065
"Lafayette County, Florida",17.8,7.9,60692,12,067
"Lake County, Florida",9.5,26.8,69956,12,069
"Lee County, Florida",11.7,30.8,73099,12,071
"Leon County, Florida",18.5,48.6,65074,12,073
"Levy County, Florida",17.2,16.2,53805,12,075
"Liberty County, Florida",20.8,15.8,53824,12,077
"Madison County, Florida",20.9,12.5,48176,12,079
"Manatee County, Florida",10.4,34.3,75792,12,081
"Marion County, Florida",14.6,22.4,58535,12,083
"Martin County, Florida",11.4,36.6,80701,12,085
"Miami-Dade County, Florida",14.9,33.2,68694,12,086
"Monroe County, Florida",10.4,37.8,82430,12,087
"Nassau County, Florida",9.2,34.5,88900,12,089
"Okaloosa County, Florida",9.3,34.2,79097,12,091
"Okeechobee County, Florida",19.0,16.1,52288,12,093
"Orange County, Florida",13.0,38.4,77011,12,095
"Osceola County, Florida",12.5,28.3,68711,12,097
"Palm Beach County, Florida",11.1,39.6,81115,12,099
"Pasco County, Florida",11.1,28.0,67384,12,101
"Pinellas County, Florida",11.4,35.8,70293,12,103
"Polk County, Florida",14.7,22.6,63644,12,105
"Putnam County, Florida",23.9,14.1,47256,12,107
"St. Johns County, Florida",6.7,48.6,106169,12,109
"St. Lucie County, Florida",11.6,25.4,69027,12,111
"Santa Rosa County, Florida",8.4,31.0,88968,12,113
"Sarasota County, Florida",8.2,39.7,80633,12,115
"Seminole County, Florida",9.2,42.4,83030,12,117
"Sumter County, Florida",9.1,35.1,73297,12,119
"Suwannee County, Florida",14.2,16.4,55479,12,121
"Taylor County, Florida",17.3,15.1,44985,12,123
"Union County, Florida",18.7,10.0,64922,12,125
"Volusia County, Florida",12.2,27.2,66581,12,127
"Wakulla County, Florida",5.6,21.3,74183,12,129
"Walton County, Florida",11.4,34.2,79281,12,131
"Washington County, Florida",18.9,12.5,52723,12,133
"Appling County, Georgia",23.8,9.9,43728,13,001
"Atkinson County, Georgia",25.0,9.8,38438,13,003
"Bacon County, Georgia",20.9,11.0,50310,13,005
"Baker County, Georgia",29.4,16.9,44405,13,007
"Baldwin County, Georgia",22.0,24.1,55413,13,009
"Banks County, Georgia",12.8,17.3,68830,13,011
"Barrow County, Georgia",10.2,21.0,77477,13,013
"Bartow County, Georgia",10.1,22.9,79431,13,015
"Ben Hill County, Georgia",25.7,12.1,39081,13,017
"Berrien County, Georgia",22.1,12.8,50414,13,019
"Bibb County, Georgia",24.8,26.0,50747,13,021
"Bleckley County, Georgia",20.5,18.3,53005,13,023
"Brantley County, Georgia",16.9,10.9,47801,13,025
"Brooks County, Georgia",25.4,13.6,47656,13,027
"Bryan County, Georgia",7.2,34.6,94234,13,029
"Bulloch County, Georgia",22.5,30.8,56832,13,031
"Burke County, Georgia",19.2,14.3,50739,13,033
"Butts County, Georgia",12.9,13.9,59221,13,035
