fips_code,state,county,population,metro_status,poverty_pct,bachelors_pct,median_income,2023_violent_crime,2024_violent_crime,2023_property_crime,2024_property_crime,2023_unemployment_rate,2024_unemployment_rate,_merge
12009,,,,,,,,,,,,3.0,3.5,right_only
12011,,,,,,,,,,,,2.8,3.2,right_only
12013,,,,,,,,,,,,3.3,3.7,right_only
12017,,,,,,,,,,,,4.3,4.9,right_only
12027,,,,,,,,,,,,3.5,4.0,right_only
12029,,,,,,,,,,,,3.7,4.2,right_only
12031,,,,,,,,,,,,3.2,3.5,right_only
12033,,,,,,,,,,,,3.1,3.6,right_only
12037,,,,,,,,,,,,3.2,3.8,right_only
12039,,,,,,,,,,,,4.0,4.2,right_only
12041,,,,,,,,,,,,2.9,3.4,right_only
12043,,,,,,,,,,,,3.9,4.4,right_only
12045,,,,,,,,,,,,2.9,3.3,right_only
12047,,,,,,,,,,,,4.6,4.8,right_only
12055,,,,,,,,,,,,4.3,4.8,right_only
12057,,,,,,,,,,,,3.0,3.4,right_only
12059,,,,,,,,,,,,2.9,3.5,right_only
12061,,,,,,,,,,,,3.6,4.0,right_only
12063,,,,,,,,,,,,3.4,3.9,right_only
12067,,,,,,,,,,,,3.8,4.4,right_only
12069,,,,,,,,,,,,3.1,3.5,right_only
12075,,,,,,,,,,,,3.4,4.0,right_only
12077,,,,,,,,,,,,3.2,3.9,right_only
12081,,,,,,,,,,,,3.1,3.5,right_only
12091,,,,,,,,,,,,2.7,3.1,right_only
12095,,,,,,,,,,,,2.9,3.3,right_only
12097,,,,,,,,,,,,3.1,3.5,right_only
12101,,,,,,,,,,,,3.2,3.7,right_only
12109,,,,,,,,,,,,2.8,3.2,right_only
12111,,,,,,,,,,,,3.5,3.9,right_only
12119,,,,,,,,,,,,5.1,5.8,right_only
12121,,,,,,,,,,,,3.4,3.9,right_only
12125,,,,,,,,,,,,3.7,4.4,right_only
12127,,,,,,,,,,,,3.4,3.8,right_only
12133,,,,,,,,,,,,3.5,4.0,right_only
